ID_nba,ID_game,ID_team,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,win
1,21300001,22,48,87,36,93,38.7,9,19,47.4,6,10,60,13,26,39,17,19,10,6,26,0
2,21300001,12,48,97,34,71,47.9,7,17,41.2,22,32,68.8,10,34,44,17,21,4,18,13,1
3,21300002,16,48,107,37,72,51.4,11,20,55,22,29,75.9,5,35,40,26,20,10,7,21,1
4,21300002,5,48,95,35,83,42.2,7,26,26.9,18,23,78.3,11,30,41,23,19,11,4,27,0
5,21300003,13,48,103,41,83,49.4,8,21,38.1,13,23,56.5,10,30,40,27,16,11,4,21,0
6,21300003,14,48,116,42,93,45.2,14,29,48.3,18,28,64.3,18,34,52,23,19,8,6,23,1
7,21300004,6,48,98,35,84,41.7,5,15,33.3,23,34,67.6,16,32,48,21,14,7,3,20,1
8,21300004,2,48,94,33,82,40.2,9,24,37.5,19,24,79.2,9,28,37,24,15,8,8,27,0
9,21300005,16,48,110,42,85,49.4,16,40,40,10,13,76.9,7,24,31,30,19,7,0,25,0
10,21300005,23,48,114,43,80,53.8,8,21,38.1,20,24,83.3,8,32,40,24,18,16,1,21,1
11,21300006,28,48,93,38,86,44.2,5,17,29.4,12,23,52.2,19,29,48,15,18,9,6,25,1
12,21300006,3,48,87,32,66,48.5,3,13,23.1,20,29,69,7,26,33,15,22,10,7,27,0
13,21300007,30,48,102,34,78,43.6,10,25,40,24,32,75,13,25,38,23,17,5,3,30,0
14,21300007,9,48,113,39,78,50,9,24,37.5,26,33,78.8,12,32,44,24,19,6,4,27,1
15,21300008,17,48,83,34,74,45.9,5,16,31.3,10,12,83.3,5,26,31,19,24,10,4,22,0
16,21300008,20,48,90,36,71,50.7,3,13,23.1,15,17,88.2,6,28,34,17,22,12,6,16,1
17,21300009,11,48,96,36,76,47.4,9,25,36,15,24,62.5,14,40,54,17,19,4,6,16,1
18,21300009,4,48,83,33,90,36.7,4,10,40,13,20,65,12,25,37,14,8,8,6,21,0
19,21300010,22,53,115,47,100,47,10,27,37,11,18,61.1,14,40,54,21,18,7,6,29,0
20,21300010,18,53,120,42,100,42,8,25,32,28,34,82.4,14,35,49,27,15,7,3,19,1
21,21300011,12,48,95,30,70,42.9,10,23,43.5,25,30,83.3,6,31,37,19,18,5,12,18,1
22,21300011,19,48,90,34,85,40,5,11,45.5,17,21,81,15,28,43,17,15,7,5,29,0
23,21300012,7,48,118,44,77,57.1,11,24,45.8,19,24,79.2,7,35,42,31,20,7,2,22,1
24,21300012,1,48,109,37,76,48.7,8,24,33.3,27,35,77.1,5,28,33,27,17,16,5,20,0
25,21300013,27,48,101,40,76,52.6,11,20,55,10,16,62.5,4,36,40,25,15,3,6,18,1
26,21300013,15,48,94,39,93,41.9,8,15,53.3,8,15,53.3,11,33,44,24,14,6,3,15,0
27,21300014,29,48,98,36,79,45.6,6,22,27.3,20,30,66.7,10,34,44,25,22,6,5,28,0
