ID_game,date,type,home,away,season
21300001,10/29/2013,regular,IND,ORL,2014
21300002,10/29/2013,regular,MIA,CHI,2014
21300003,10/29/2013,regular,LAL,LAC,2014
21300004,10/30/2013,regular,CLE,BKN,2014
21300005,10/30/2013,regular,PHI,MIA,2014
21300006,10/30/2013,regular,TOR,BOS,2014
21300007,10/30/2013,regular,DET,WAS,2014
21300008,10/30/2013,regular,NYK,MIL,2014
21300009,10/30/2013,regular,HOU,CHA,2014
21300010,10/30/2013,regular,MIN,ORL,2014
21300011,10/30/2013,regular,NOP,IND,2014
21300012,10/30/2013,regular,DAL,ATL,2014
21300013,10/30/2013,regular,SAS,MEM,2014
21300014,10/30/2013,regular,UTA,OKC,2014
21300015,10/30/2013,regular,PHX,POR,2014
21300016,10/30/2013,regular,SAC,DEN,2014
21300017,10/30/2013,regular,GSW,LAL,2014
21300018,10/31/2013,regular,CHI,NYK,2014
21300019,10/31/2013,regular,LAC,GSW,2014
21300020,11/1/2013,regular,CHA,CLE,2014
21300021,11/1/2013,regular,ORL,NOP,2014
21300022,11/1/2013,regular,WAS,PHI,2014
21300023,11/1/2013,regular,ATL,TOR,2014
21300024,11/1/2013,regular,BOS,MIL,2014
21300025,11/1/2013,regular,HOU,DAL,2014
21300026,11/1/2013,regular,MEM,DET,2014
21300027,11/1/2013,regular,MIN,OKC,2014
21300028,11/1/2013,regular,BKN,MIA,2014
21300029,11/1/2013,regular,DEN,POR,2014
21300030,11/1/2013,regular,PHX,UTA,2014
21300031,11/1/2013,regular,SAC,LAC,2014
21300032,11/1/2013,regular,LAL,SAS,2014
21300033,11/2/2013,regular,IND,CLE,2014
21300034,11/2/2013,regular,PHI,CHI,2014
21300035,11/2/2013,regular,NOP,CHA,2014
21300036,11/2/2013,regular,DAL,MEM,2014
21300037,11/2/2013,regular,MIL,TOR,2014
21300038,11/2/2013,regular,UTA,HOU,2014
21300039,11/2/2013,regular,POR,SAS,2014
21300040,11/2/2013,regular,GSW,SAC,2014
21300041,11/3/2013,regular,DET,BOS,2014
21300042,11/3/2013,regular,MIA,WAS,2014
21300043,11/3/2013,regular,ORL,BKN,2014
